School,Mascot,Conference,Division
Air Force,Falcons,Mountain West,
Akron,Zips,Mid-American,
Alabama,Crimson Tide,SEC,
App State,Mountaineers,Sun Belt,East
Arizona,Wildcats,Big 12,
Arizona State,Sun Devils,Big 12,
Arkansas,Razorbacks,SEC,
Arkansas State,Red Wolves,Sun Belt,West
Army,Black Knights,American Athletic,
Auburn,Tigers,SEC,
Ball State,Cardinals,Mid-American,
Baylor,Bears,Big 12,
Boise State,Broncos,Mountain West,
Boston College,Eagles,ACC,
Bowling Green,Falcons,Mid-American,
Buffalo,Bulls,Mid-American,
BYU,Cougars,Big 12,
California,Golden Bears,ACC,
Central Michigan,Chippewas,Mid-American,
Charlotte,49ers,American Athletic,
Cincinnati,Bearcats,Big 12,
Clemson,Tigers,ACC,
Coastal Carolina,Chanticleers,Sun Belt,East
Colorado,Buffaloes,Big 12,
Colorado State,Rams,Mountain West,
Duke,Blue Devils,ACC,
East Carolina,Pirates,American Athletic,
Eastern Michigan,Eagles,Mid-American,
Florida,Gators,SEC,
Florida Atlantic,Owls,American Athletic,
Florida International,Panthers,Conference USA,
Florida State,Seminoles,ACC,
Fresno State,Bulldogs,Mountain West,
Georgia,Bulldogs,SEC,
Georgia Southern,Eagles,Sun Belt,East
Georgia State,Panthers,Sun Belt,East
Georgia Tech,Yellow Jackets,ACC,
Hawai'i,Rainbow Warriors,Mountain West,
Houston,Cougars,Big 12,
Illinois,Fighting Illini,Big Ten,
Indiana,Hoosiers,Big Ten,
Iowa,Hawkeyes,Big Ten,
Iowa State,Cyclones,Big 12,
Jacksonville State,Gamecocks,Conference USA,
James Madison,Dukes,Sun Belt,East
Kansas,Jayhawks,Big 12,
Kansas State,Wildcats,Big 12,
Kennesaw State,Owls,Conference USA,
Kent State,Golden Flashes,Mid-American,
Kentucky,Wildcats,SEC,
Liberty,Flames,Conference USA,
Louisiana,Ragin' Cajuns,Sun Belt,West
Louisiana Tech,Bulldogs,Conference USA,
Louisville,Cardinals,ACC,
LSU,Tigers,SEC,
Marshall,Thundering Herd,Sun Belt,East
Maryland,Terrapins,Big Ten,
Massachusetts,Minutemen,FBS Independents,
Memphis,Tigers,American Athletic,
Miami,Hurricanes,ACC,
Miami (OH),RedHawks,Mid-American,
Michigan,Wolverines,Big Ten,
Michigan State,Spartans,Big Ten,
Middle Tennessee,Blue Raiders,Conference USA,
Minnesota,Golden Gophers,Big Ten,
Mississippi State,Bulldogs,SEC,
Missouri,Tigers,SEC,
Navy,Midshipmen,American Athletic,
NC State,Wolfpack,ACC,
Nebraska,Cornhuskers,Big Ten,
Nevada,Wolf Pack,Mountain West,
New Mexico,Lobos,Mountain West,
New Mexico State,Aggies,Conference USA,
North Carolina,Tar Heels,ACC,
Northern Illinois,Huskies,Mid-American,
North Texas,Mean Green,American Athletic,
Northwestern,Wildcats,Big Ten,
Notre Dame,Fighting Irish,FBS Independents,
Ohio,Bobcats,Mid-American,
Ohio State,Buckeyes,Big Ten,
Oklahoma,Sooners,SEC,
Oklahoma State,Cowboys,Big 12,
Old Dominion,Monarchs,Sun Belt,East
Ole Miss,Rebels,SEC,
Oregon,Ducks,Big Ten,
Oregon State,Beavers,Pac-12,
Penn State,Nittany Lions,Big Ten,
Pittsburgh,Panthers,ACC,
Purdue,Boilermakers,Big Ten,
Rice,Owls,American Athletic,
Rutgers,Scarlet Knights,Big Ten,
Sam Houston,Bearkats,Conference USA,
San Diego State,Aztecs,Mountain West,
San José State,Spartans,Mountain West,
SMU,Mustangs,ACC,
South Alabama,Jaguars,Sun Belt,West
South Carolina,Gamecocks,SEC,
Southern Miss,Golden Eagles,Sun Belt,West
South Florida,Bulls,American Athletic,
Stanford,Cardinal,ACC,
Syracuse,Orange,ACC,
TCU,Horned Frogs,Big 12,
Temple,Owls,American Athletic,
Tennessee,Volunteers,SEC,
Texas,Longhorns,SEC,
Texas A&M,Aggies,SEC,
Texas State,Bobcats,Sun Belt,West
Texas Tech,Red Raiders,Big 12,
Toledo,Rockets,Mid-American,
Troy,Trojans,Sun Belt,West
Tulane,Green Wave,American Athletic,
Tulsa,Golden Hurricane,American Athletic,
UAB,Blazers,American Athletic,
UCF,Knights,Big 12,
UCLA,Bruins,Big Ten,
UConn,Huskies,FBS Independents,
UL Monroe,Warhawks,Sun Belt,West
UNLV,Rebels,Mountain West,
USC,Trojans,Big Ten,
Utah,Utes,Big 12,
Utah State,Aggies,Mountain West,
UTEP,Miners,Conference USA,
UTSA,Roadrunners,American Athletic,
Vanderbilt,Commodores,SEC,
Virginia,Cavaliers,ACC,
Virginia Tech,Hokies,ACC,
Wake Forest,Demon Deacons,ACC,
Washington,Huskies,Big Ten,
Washington State,Cougars,Pac-12,
Western Kentucky,Hilltoppers,Conference USA,
Western Michigan,Broncos,Mid-American,
West Virginia,Mountaineers,Big 12,
Wisconsin,Badgers,Big Ten,
Wyoming,Cowboys,Mountain West,
